Year,Product Type,Product/Title,Plot/Notes,Tags
1969,car,"chrysler ""scuba diver""","a scuba diver in a dreamy sequence with groovy music introduces chrysler as ""the possible dream.""","[('car', 1.0), ('diver', 0.6555), ('scuba', 0.6412), ('chrysler', 0.5575), ('dreamy', 0.431)]"
1970,car,"pontiac""humbler""","a young man pulled up in his gto to a drivein restaurant with dramatic music and exhaust noise in the background, pulling the ""exhaust"" knob to activate the vacuum operated exhaust, drowning the noise out, and then drive off.","[('car', 1.0), ('pontiac', 0.764), ('humbler', 0.5509), ('exhaust', 0.4935), ('drivein', 0.3637)]"
1975,security,"master lock""rifle""","a man attempts to break a master lock with a rifle. he fails, but does put a bullet hole in the lock.","[('security', 1.0), ('rifle', 0.6318), ('lock', 0.5952), ('master', 0.4129), ('bullet', 0.3792)]"
1976,copy,"xerox""monks""","a monk must make 500 handwritten scriptures for his boss. he obviously goes to xerox, and delivers the scriptures. the boss looks to the heavens and says, ""its a miracle"".","[('copy', 1.0), ('monks', 0.6857), ('xerox', 0.6459), ('scriptures', 0.4338), ('monk', 0.4208)]"
1979,soft drink,"coca-cola""hey kid, catch""","a young kid tries to talk to ""mean"" joe greene by the locker room after a game.  greene is his usual ""mean"" self until the kid insists greene has his coke.  after greene drinks the coke, he ""sweetens"" up and offers the kid his jersey, saying, ""hey, kid...catch.""","[('soft drink', 1.0), ('coca-cola', 0.7187), ('greene', 0.4256), ('mean', 0.4065), ('young', 0.3813)]"
1981,camera,"polaroid""now with a flash""","a couple walks in a park. the man shows that now you can have a flash on your polaroid camera, showing brighter photos.","[('camera', 1.0), ('polaroid', 0.7358), ('flash', 0.6184), ('park', 0.3809), ('couple', 0.3417)]"
1982,computer,"radioshack""color computer""",a commercial for the trs80 computer.,"[('computer', 1.0), ('trs80', 0.6599), ('radioshack', 0.6467), ('commercial', 0.4622), ('color', 0.4449)]"
1982,restaurant,"mcdonalds""hopscotch""","two kids are playing hopscotch while singing the mcdonalds menu. soon, the whole neighborhood joins in.","[('restaurant', 1.0), ('hopscotch', 0.7545), ('mcdonalds', 0.701), ('kids', 0.3222), ('singing', 0.2943)]"
1984,computer,"apple inc.""1984""","in what some call the greatest super bowl commercial of all time, an olympian runs to save a race of hypnotized humans from their computer overlord. being chased by police, the olympian throws a hammer at the screen overlord and a beacon of light shines, to the amazement of the followers. the caption reads, ""on january 24th, apple computer will introduce macintosh. and youll see why 1984 wont be like 1984."" this ad is based on the george orwell book nineteeneighty four","[('computer', 1.0), ('apple', 0.6748), ('1984', 0.5775), ('macintosh', 0.3671), ('commercial', 0.3439)]"
1984,computer,"atari""get started""",,"[('computer', 1.0), ('atari', 0.8262), ('started', 0.3267)]"
1984,beer,"miller lite""train""",,"[('beer', 1.0), ('train', 0.6217), ('miller', 0.5797), ('lite', 0.4266)]"
1984,security,"master lock""the doubters",,"[('security', 1.0), ('lock', 0.6231), ('doubters', 0.4966), ('master', 0.4366)]"
1988,food,doritos tortilla chips,"two guys in a laundromat try to impress a girl ali landry by eating doritos, and she outdoes them.","[('food', 1.0), ('doritos', 0.8191), ('tortilla', 0.7001), ('chips', 0.6314), ('laundromat', 0.4479)]"
1989,beer,"budweiser""bud bowl i""",a team of budweiser beer bottles compete against bud light beer bottles in a simulated football game.,"[('beer', 1.0), ('budweiser', 0.7481), ('bowl', 0.6058), ('compete', 0.4313), ('bottles', 0.4028)]"
1990,car,"nissan""turbocharged dream""","a nissan 300zx turbo is challenged by a sportbike, racing car and a jet fighter respectively.director: ridley scott","[('car', 1.0), ('turbocharged', 0.6783), ('nissan', 0.5047), ('turbo', 0.4808), ('sportbike', 0.4176)]"
1990,credit card,"american express""the race""",paul newman races a topfuel dragster on a minibike.,"[('credit card', 1.0), ('express', 0.5781), ('newman', 0.5335), ('race', 0.4901), ('minibike', 0.476)]"
1992,soft drink,"pepsi""cindy crawford""",two boys see cindy crawford pulling up at a vending machine drinking a can of pepsi.,"[('soft drink', 1.0), ('pepsi', 0.6315), ('cindy', 0.5808), ('crawford', 0.505), ('vending', 0.363)]"
1993,restaurant,"mcdonalds""showdown""",michael jordan and larry bird play an outrageous game of horse. the prize: a big mac.,"[('restaurant', 1.0), ('mcdonalds', 0.6772), ('showdown', 0.6396), ('jordan', 0.4466), ('bird', 0.4144)]"
1993,footwear,"nike""hare jordan""",marvin the martian takes all the air jordans on earth and challenges michael jordan and bugs bunny to a game of basketball with the fate of the earth at stake. this commercial would serve as inspiration for the movie space jam.,"[('footwear', 1.0), ('nike', 0.769), ('jordan', 0.6189), ('hare', 0.4957), ('martian', 0.4805)]"
1993,clothing,"lee""inhale""",a man trying to suck in his stomach to button up his jeans ends up inhaling his pet canary.,"[('clothing', 1.0), ('lee', 0.6997), ('inhale', 0.6834), ('inhaling', 0.374), ('stomach', 0.3421)]"
1993,clothing,"lee""the date""","a young woman in her bedroom upstairs wearing a white leotard as a top sees her date alan cumming pulling up. she struggles to get into her jeans by hip rolling, and jumping up and down and trying to pull jeans up at same time. date sees shadow of her hip rolling in window and gets excited. as she continues to struggle to get into her jeans she gets one foot tangled in cord of floor lamp then the other and falls into mannequin with mannequin landing on top of her and the lights going out. date sees this and looks to him like she is fooling around with another guy.","[('clothing', 1.0), ('lee', 0.7151), ('date', 0.5725), ('mannequin', 0.4672), ('woman', 0.3953)]"
